iter	Passed	Remaining
0	136	136215
1	137	68516
2	138	45864
3	138	34587
4	139	27859
5	140	23307
6	141	20050
7	142	17639
8	143	15758
9	144	14263
10	144	13015
11	145	11975
12	146	11095
13	146	10343
14	147	9688
15	148	9114
16	148	8610
17	149	8158
18	150	7755
19	151	7402
20	151	7076
21	152	6779
22	153	6506
23	154	6279
24	155	6059
25	156	5845
26	156	5646
27	157	5461
28	158	5295
29	158	5135
30	159	4987
31	160	4849
32	161	4718
33	161	4595
34	162	4477
35	163	4367
36	163	4262
37	164	4165
38	165	4074
39	166	3986
40	166	3901
41	167	3820
42	168	3742
43	169	3679
44	170	3608
45	170	3539
46	171	3474
47	172	3411
48	172	3352
49	173	3294
50	174	3241
51	174	3187
52	175	3136
53	176	3086
54	176	3038
55	177	2992
56	178	2947
57	178	2905
58	179	2869
59	180	2833
60	181	2800
61	182	2764
62	183	2733
63	184	2698
64	185	2664
65	186	2633
66	186	2601
67	187	2571
68	188	2540
69	188	2510
70	189	2481
71	190	2452
72	190	2424
73	191	2397
74	192	2371
75	193	2348
76	193	2324
77	194	2300
78	195	2277
79	196	2254
80	196	2231
81	197	2210
82	198	2187
83	199	2170
84	199	2150
85	200	2129
86	201	2109
87	201	2090
88	202	2071
89	203	2052
90	203	2034
91	204	2016
92	205	1999
93	205	1982
94	206	1966
95	207	1952
96	208	1942
97	209	1926
98	210	1913
99	211	1900
100	213	1901
101	214	1892
102	215	1878
103	216	1865
104	217	1853
105	218	1840
106	219	1828
107	219	1816
108	221	1807
109	222	1797
110	222	1785
111	223	1773
112	224	1761
113	225	1749
114	225	1737
115	226	1725
116	227	1717
117	228	1710
118	229	1700
119	230	1689
120	231	1678
121	231	1666
122	232	1656
123	233	1646
124	233	1636
125	234	1626
126	235	1615
127	235	1606
128	236	1596
129	237	1587
130	237	1578
131	238	1569
132	239	1559
133	240	1552
134	241	1544
135	242	1539
136	243	1531
137	243	1523
138	244	1516
139	245	1508
140	246	1503
141	247	1495
142	248	1488
143	249	1481
144	249	1473
145	250	1466
146	251	1458
147	252	1451
148	252	1444
149	253	1436
150	254	1429
151	254	1421
152	255	1414
153	256	1409
154	257	1402
155	258	1396
156	258	1389
157	259	1382
158	260	1375
159	260	1368
160	261	1361
161	261	1354
162	262	1347
163	263	1341
164	263	1335
165	264	1329
166	265	1323
167	265	1317
168	266	1311
169	267	1305
170	268	1299
171	268	1293
172	269	1288
173	270	1285
174	271	1281
175	272	1276
176	273	1271
177	274	1265
178	274	1260
179	275	1255
180	276	1249
181	276	1244
182	277	1239
